title,resume,date,url
Vidéos. Muslim clashe ses détracteurs avec un nouveau clip «Caballero»,"Après avoir mis fin aux rumeurs relatives à son mariage avec l’actrice Amal Saqr, le rappeur  le rappeur Muslim, a diffusé, samedi 16 décembre, sur sa chaîne YouTube, le clip de son dernier opus «Caballero».",15 décembre 2019,https://www.h24info.ma/people/video-muslim-clashe-ses-detracteurs-avec-un-nouveau-clip-caballero/
Diapo. 10 leçons de style par Moulay El Hassan,Costume parfaitement bien coupé; selham posé par dessus le costard; l’indémodable et chicissime jellaba-babouche-tarbouche… Les looks de Moulay El Hassan symbolisent toute l’élégance à la marocaine. Voici 10 leçons de style adoptées par le prince héritier. ,17 décembre 2019,https://www.h24info.ma/people/diapo-10-lecons-de-style-par-moulay-el-hassan/
Vidéo. Saad Lamjarred prend la pose avec Amrabat en Arabie saoudite,"Saad Lamjarred donnera un concert à Riyad le 18 décembre. En attendant, il profite de son temps et n’hésite pas à rencontrer ses fans et ses compatriotes marocains. ",17 décembre 2019,https://www.h24info.ma/people/video-saad-lamjarred-prend-la-pose-avec-amrabat-en-arabie-saoudite/
ARTCO révèle les vainqueurs de son Designers Challenge 2019,Trois étudiants et trois professionnels ont reçu le prix ARTCO Designers Challenge 2019. Les 6 gagnants ont reçu leurs récompenses au cours d’une soirée haute en couleurs organisée dans le magasin d’Artco au quartier Racine.,10 décembre 2019,https://www.h24info.ma/lifestyle/artcorevele-vainqueurs-de-son-designers-challenge-2019/
La marque Mango en discussion avec un nouvel associé pour un retour au Maroc,"La marque espagnole Mango souhaite se réinstaller au Maroc, mais avec un nouvel associé cette fois-ci. Des nouveaux points de vente sont en cours de négociation à Casablanca, Fès, Tanger et Marrakech.",11 décembre 2019,https://www.h24info.ma/lifestyle/la-marque-mango-negocie-son-retour-au-maroc-avec-un-nouvel-associe/
Quand Volkswagen joue au Père Noël,"Une Volkswagen au prix d’une voiture ? Un slogan surprenant, osé diront certains, mais qui mérite qu’on s’y attarde.",13 décembre 2019,https://www.h24info.ma/lifestyle/quand-volkswagen-joue-au-pere-noel/
Promos de fins d’année: Skoda offre 30.000 DH sur tous ses modèles,"Créée en 1865, Skoda est devenue aujourd’hui un constructeur de renom qui produit des modèles haut-de-gamme dont la qualité est sans reproche, avec toujours le souci d’être accessibles en termes de tarifs.",15 décembre 2019,https://www.h24info.ma/lifestyle/promos-de-fins-dannee-skoda-offre-30-000-dh-sur-tous-ses-modeles/
"BAM prévoit une inflation à 0,3 % cette année et une accélération de la croissance à 3,8% pour 2020","Bank Al-Maghrib (BAM) table sur une accélération de la croissance à 3,8% en 2020 et sur sa consolidation à 3,7% en 2021.",17 décembre 2019,https://www.h24info.ma/economie/bam-prevoit-une-inflation-a-03-cette-annee-et-une-acceleration-de-la-croissance-a-38-pour-2020/
"Vidéo. À Casablanca, la BMCI modernise son agence historique Mohammed V","La BMCI a rouvert, le lundi 16 décembre, les portes de son agence historique Mohammed V entièrement repensée et réinventée.",17 décembre 2019,https://www.h24info.ma/economie/video-a-casablanca-la-bmci-modernise-son-agence-historique-mohammed-v/
Vidéo. L’aéroport de Rabat-Salé franchit le cap d’un million de passagers,"L’aéroport de Rabat-Salé a franchi, mardi à Rabat, le cap d’un million de passagers, un événement qui a été célébré par une cérémonie grandiose organisée par l’Office national des aéroports (ONDA), en partenariat avec le Conseil régional du tourisme de Rabat.",17 décembre 2019,https://www.h24info.ma/economie/video-laeroport-de-rabat-sale-franchit-le-cap-dun-million-de-passagers/
